Asset Letter,Phone Type,Asset Type,Dimension,Filename
A,iPhone 4/4S/5/5C/5S/6.iPod touch 5th generation,App icon,120x120,appicon-60@2x.png
B,iPhone 6 Plus,App Icon,180x180,appicon-60@3x.png
C,iPad non-retina,App icon,76x76,appicon-76.png
D,iPad retina,App icon,152x152,appicon-76@2x.png
E,iPad Pro,App icon,167x167,appicon-83.5@2x.png
F,Universal non-retina,Spotlight,40x40,appicon-Small-40.png
G,Universal retina,Spotlight,80x80,appicon-Small-40@2x.png
H,iPhone 6 Plus,Spotlight,120x120,appicon-Small-40@3x.png
I,Universal non-retina,Settings,29x29,appicon-Small.png
J,Universal retina,Settings,58x58,appicon-Small@2x.png
K,iPhone 6 Plus,Settings,87x87,appicon-Small@3x.png
L,iPhone 4/4S,Splash screen,640x960,Default@2x.png
M,iPhone 5/5C/5S/iPod touch 5th generation,Splash screen,640x1136,Default-568h@2x.png
N,iPhone 6,Splash screen,750x1334,Default-667h@2x.png
O,iPhone 6 Plus landscape,Splash screen,2208x1242,Default-Landscape-736h@3x.png
P,iPhone 6 Plus portrait,Splash screen,1242x2208,Default-Portrait-736h@3x.png
Q,iPad non-retina landscape,Splash screen,1024x768,Default-Landscape.png
R,iPad non-retina portrait,Splash screen,768x1024,Default-Portrait.png
S,iPad retina landscape,Splash screen,2048x1536,Default-Landscape@2x.png
T,iPad retina portrait,Splash screen,1536x2048,Default-Portrait@2x.png
U,Any device with a non-retina display for ad-hoc builds,App list in iTunes,512x512,iTunesArtwork (no extension)
V,Any device with a retina display for ad-hoc builds,App list in iTunes,1024x1024,iTunesArtwork@2x (no extension)
W,iPhone/iPod non-retina,App icon,57x57,appicon.png
X,iPhone/iPod retina (iOS 6 and prior),App icon,114x114,appicon@2x.png
Y,iPad 1 & 2 (iOS 6 and prior),App icon,72x72,appicon-72.png
Z,iPad 3 (iOS 6 and prior),App icon,144x144,appicon-72@2x.png
AA,iPhone/iPod non-retina,Spotlight & settings,29x29,appicon-Small.png
AB,iPhone/iPod retina (iOS 6 and prior),Spotlight & settings,58x58,appicon-Small@2x.png
AC,iPad 1 & 2 (iOS 6 and prior),Spotlight & settings,50x50,appicon-Small-50.png
AD,iPad Retina (iOS 6 and prior),Spotlight,100x100,appicon-Small-50@2x.png
AE,iPad Retina (iOS 6 and prior),Settings,58x58,appicon-Small@2x.png
AF,iPhone non-retina,Splash screen,320x480,Default.png
AG,iPad 1 landscape,Splash screen,1024x768,Default-Landscape.png
AH,iPad 1 portrait,Splash screen,768x1024,Default-Portrait.png
AI,Large app icon,iTunesConnect,1024x1024,1024x1024_itunes.png
AJ,iPhone 4/4S screenshot fullscreen landscape,iTunesConnect,960x640,960x640_itunes.png
AK,iPhone 4/4S screenshot fullscreen,iTunesConnect,640x960,640x960_itunes.png
AL,iPhone 4/4S screenshot no status bar,iTunesConnect,960x600,960x600_itunes.png
AM,iPhone 4/4S screenshot no status bar,iTunesConnect,640x920,640x920_itunes.png
AN,iPhone 5/5C/5S and iPod 5 screenshot,iTunesConnect,640x1136,640x1136_itunes.png
AO,iPhone 5/5C/5S and iPod 5 screenshot,iTunesConnect,1136x640,1136x640_itunes.png
AP,iPhone 5/5C/5S and iPod 5 screenshot no status bar,iTunesConnect,1136x600,1136x600_itunes.png
AQ,iPhone 5/5C/5S and iPod 5 screenshot no status bar,iTunesConnect,640x1096,640x1096_itunes.png
AR,iPhone 6 screenshot,iTunesConnect,750x1334,750x1334_itunes.png
AS,iPhone 6 screenshot,iTunesConnect,1334x750,1334x750_itunes.png
AT,iPhone 6 Plus screenshot,iTunesConnect,1242x2208,1242x2208_itunes.png
AU,iPhone 6 Plus screenshot,iTunesConnect,2208x1242,2208x1242_itunes.png
AV,iPad screenshot non-retina; fullscreen,iTunesConnect,768x1024,768x1024_itunes.png
AW,iPad screenshot non-retina; fullscreen,iTunesConnect,1024x768,1024x768_itunes.png
AX,iPad screenshot non-retina; no status bar,iTunesConnect,768x1004,768x1004_itunes.png
AY,iPad screenshot non-retina; no status bar,iTunesConnect,1024x728,1024x728_itunes.png
AZ,iPad screenshot retina; fullscreen,iTunesConnect,1536x2048,1536x2048_itunes.png
BA,iPad screenshot retina; fullscreen,iTunesConnect,2048x1536,2048x1536_itunes.png
BB,iPad screenshot,iTunesConnect,1536x2008,1536x2008_itunes.png
